collection_slug,set_slug,word,normalized,ipa_us,ipa_uk,part_of_speech,meaning_vi,definition_en,example_en,example_vi,synonyms,collocations,tags,audio_url,sort_order,status
destination-b2,topic-01-work-and-study,consistent,consistent,/kənˈsɪs.tənt/,/kənˈsɪs.tənt/,ADJ,nhất quán,"always behaving or happening in a similar way","A consistent study routine makes review easier.","Một lịch học nhất quán giúp việc ôn tập dễ hơn.",steady|regular,consistent effort|consistent results,study,,10,PUBLISHED
destination-b2,topic-01-work-and-study,deadline,deadline,/ˈded.laɪn/,/ˈded.laɪn/,N,hạn chót,"the latest time something must be finished","The deadline for the project is Friday.","Hạn chót của dự án là thứ Sáu.",due date,meet a deadline|tight deadline,work,,20,PUBLISHED
destination-b2,topic-01-work-and-study,priority,priority,/praɪˈɔːr.ə.ti/,/praɪˈɒr.ə.ti/,N,sự ưu tiên,"something that is more important than other things","Vocabulary review is my first priority today.","Ôn từ vựng là ưu tiên đầu tiên của tôi hôm nay.",main concern,top priority|set priorities,planning,,30,PUBLISHED
destination-b1,topic-01-daily-life,routine,routine,/ruːˈtiːn/,/ruːˈtiːn/,N,thói quen hằng ngày,"the usual way you do things every day","Her morning routine starts with reading.","Thói quen buổi sáng của cô ấy bắt đầu bằng việc đọc.",habit,daily routine|morning routine,daily,,10,PUBLISHED
destination-b1,topic-01-daily-life,reliable,reliable,/rɪˈlaɪ.ə.bəl/,/rɪˈlaɪ.ə.bəl/,ADJ,đáng tin cậy,"able to be trusted","He is a reliable partner in group work.","Anh ấy là một người cộng sự đáng tin cậy khi làm nhóm.",dependable,reliable source|reliable person,people,,20,PUBLISHED
oxford-5000,core-01-foundation,approach,approach,/əˈproʊtʃ/,/əˈprəʊtʃ/,N,cách tiếp cận,"a way of dealing with a situation or problem","This approach helps learners review at the right time.","Cách tiếp cận này giúp người học ôn đúng thời điểm.",method,new approach|practical approach,core,,10,PUBLISHED
oxford-5000,core-01-foundation,evidence,evidence,/ˈev.ə.dəns/,/ˈev.ɪ.dəns/,N,bằng chứng,"facts or information showing that something is true","The evidence supports a shorter review session.","Bằng chứng ủng hộ một buổi ôn tập ngắn hơn.",proof,clear evidence|strong evidence,academic,,20,PUBLISHED
toeic-essential-600,unit-01-office-flow,invoice,invoice,/ˈɪn.vɔɪs/,/ˈɪn.vɔɪs/,N,hóa đơn,"a list of goods or services and the amount to pay","Please send the invoice before the end of the day.","Vui lòng gửi hóa đơn trước cuối ngày.",bill,issue an invoice|pay an invoice,toeic,,10,PUBLISHED
toeic-essential-600,unit-01-office-flow,schedule,schedule,/ˈskedʒ.uːl/,/ˈʃed.juːl/,N,lịch trình,"a plan of activities and times","The meeting schedule changed this morning.","Lịch họp đã thay đổi sáng nay.",timetable,tight schedule|adjust a schedule,toeic,,20,PUBLISHED
cambridge-ielts-20,unit-01-academic-trends,trend,trend,/trend/,/trend/,N,xu hướng,"a general direction in which something changes","The graph shows an upward trend in online learning.","Biểu đồ cho thấy xu hướng tăng trong học trực tuyến.",pattern,upward trend|long-term trend,ielts,,10,PUBLISHED
cambridge-ielts-20,unit-01-academic-trends,significant,significant,/sɪɡˈnɪf.ə.kənt/,/sɪɡˈnɪf.ɪ.kənt/,ADJ,đáng kể,"large or important enough to notice","There was a significant increase in student participation.","Có sự gia tăng đáng kể trong mức độ tham gia của học sinh.",notable,significant increase|significant difference,ielts,,20,PUBLISHED
